uniq_id,product_name,product_description,category,rating,is_trending,is_best_seller,search_term,price
PROD-101,Moto G Power 2024,Affordable budget phone with incredible battery life and a large 120Hz display.,Mobile,4.5,1,0,Moto G Power smartphone,16999
PROD-102,Samsung Galaxy A15,Budget-friendly smartphone with an awesome AMOLED screen and long-lasting battery.,Mobile,4.3,0,1,Samsung Galaxy A15 smartphone,19999
PROD-103,OnePlus Nord N300,Fast charging budget phone with smooth performance and 5G connectivity.,Mobile,4.2,0,0,OnePlus Nord N300 5G smartphone,17500
PROD-104,Google Pixel 6a,Affordable Google phone featuring an excellent camera and pure Android experience.,Mobile,4.6,1,1,Google Pixel 6a smartphone,24999
PROD-105,Nokia G400 5G,Sturdy and reliable budget phone with multi-day battery.,Mobile,4.0,0,0,Nokia G400 smartphone,14500
PROD-106,Xiaomi Redmi Note 13,Impressive budget phone with sharp 108MP camera.,Mobile,4.4,1,0,Xiaomi Redmi Note 13 smartphone,18999
PROD-107,Samsung Galaxy A03s,Entry-level budget smartphone that covers all the basics reliably.,Mobile,4.1,0,1,Samsung Galaxy A03s smartphone,11999
PROD-108,TCL 40XL,Large affordable budget phone focusing on media consumption.,Mobile,4.2,0,0,TCL 40XL smartphone,13499
PROD-109,Moto G Play,Incredibly cheap budget phone doing the essentials correctly.,Mobile,4.0,0,0,Moto G Play smartphone,9999
PROD-110,Poco M6 Pro,Value-driven budget phone offering high refresh rates.,Mobile,4.5,1,0,Poco M6 Pro smartphone,15999
PROD-111,Infinix Note 30,Stylish budget phone packing surprisingly good internals.,Mobile,4.2,0,0,Infinix Note 30 smartphone,14999
PROD-112,Realme C55,Excellent cheap budget smartphone with quick charging capabilities.,Mobile,4.3,0,0,Realme C55 smartphone,13999
PROD-113,Honor X8a,Thin budget phone with a stunning edgeless display and 100MP camera.,Mobile,4.4,0,0,Honor X8a smartphone,16500
PROD-114,Nokia C21 Plus,Very low-cost budget phone targeted at absolute entry-level buyers.,Mobile,3.9,0,0,Nokia C21 Plus smartphone,8999
